ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,12.9 ,14.0 ,17.7 ,18.5 ,21.5 ,21.6 ,19.7 ,20.0 ,19.0 ,18.6 ,15.8 ,14.4 ,17.8 
BAJA CALIFORNIA,15.6 ,13.4 ,14.1 ,17.6 ,22.0 ,23.9 ,24.5 ,27.9 ,26.2 ,22.3 ,17.2 ,14.0 ,19.9 
BAJA CALIFORNIA SUR,17.6 ,17.2 ,18.7 ,21.1 ,24.0 ,26.3 ,28.6 ,27.7 ,28.9 ,25.7 ,22.4 ,19.0 ,23.1 
CAMPECHE,23.9 ,25.2 ,26.9 ,28.2 ,29.5 ,27.7 ,27.9 ,27.7 ,26.7 ,26.5 ,23.6 ,25.1 ,26.6 
COAHUILA,14.6 ,15.5 ,20.7 ,24.3 ,26.5 ,26.5 ,28.3 ,29.5 ,26.1 ,23.2 ,18.5 ,15.7 ,22.4 
COLIMA,23.7 ,23.8 ,24.2 ,20.4 ,26.7 ,26.6 ,27.8 ,27.5 ,27.3 ,28.0 ,26.5 ,25.5 ,25.7 
CHIAPAS,23.2 ,23.6 ,24.4 ,23.5 ,26.2 ,25.3 ,25.3 ,25.4 ,25.1 ,24.6 ,22.6 ,23.2 ,24.4 
CHIHUAHUA,11.2 ,12.3 ,15.3 ,25.1 ,23.3 ,26.5 ,24.1 ,24.8 ,21.8 ,19.9 ,15.5 ,11.8 ,19.3 
DISTRITO FEDERAL,13.9 ,15.1 ,17.5 ,17.9 ,19.0 ,18.8 ,17.7 ,18.1 ,17.5 ,17.5 ,15.1 ,15.6 ,17.0 
DURANGO,12.1 ,13.1 ,16.4 ,19.9 ,22.1 ,23.6 ,22.2 ,22.2 ,20.1 ,19.0 ,15.9 ,13.1 ,18.3 
GUANAJUATO,14.6 ,15.9 ,18.3 ,22.5 ,22.4 ,22.0 ,20.4 ,20.5 ,19.9 ,19.7 ,16.4 ,15.7 ,19.0 
GUERRERO,23.7 ,24.0 ,25.7 ,25.5 ,27.4 ,26.0 ,25.9 ,25.8 ,25.3 ,25.3 ,24.2 ,23.9 ,25.2 
HIDALGO,13.7 ,14.8 ,17.1 ,18.8 ,20.3 ,20.4 ,19.3 ,20.1 ,19.0 ,17.9 ,15.4 ,15.3 ,17.7 
JALISCO,16.7 ,17.7 ,19.9 ,20.9 ,24.0 ,23.3 ,22.1 ,22.2 ,21.1 ,20.6 ,18.8 ,17.2 ,20.4 
ESTADO DE MÉXICO,10.8 ,12.4 ,14.3 ,14.8 ,16.8 ,16.3 ,16.2 ,16.4 ,16.9 ,15.1 ,12.5 ,13.2 ,14.6 
MICHOACÁN,15.9 ,16.7 ,19.7 ,20.5 ,23.4 ,22.1 ,21.1 ,20.6 ,20.8 ,21.2 ,18.1 ,16.8 ,19.7 
MORELOS,18.7 ,20.3 ,22.1 ,23.1 ,24.2 ,22.9 ,21.6 ,22.2 ,21.9 ,21.2 ,19.6 ,19.6 ,21.5 
NAYARIT,21.1 ,21.5 ,23.0 ,23.9 ,27.5 ,28.0 ,26.0 ,27.8 ,27.5 ,27.6 ,25.8 ,23.0 ,25.2 
NUEVO LEÓN,15.8 ,16.2 ,20.9 ,24.4 ,26.3 ,27.7 ,27.8 ,28.5 ,26.1 ,23.6 ,19.0 ,16.6 ,22.7 
OAXACA,21.6 ,23.3 ,24.5 ,25.2 ,26.8 ,25.5 ,26.0 ,25.8 ,25.8 ,25.6 ,23.0 ,23.1 ,24.7 
PUEBLA,15.1 ,16.2 ,17.9 ,18.7 ,20.0 ,19.3 ,18.7 ,19.0 ,18.8 ,17.7 ,15.8 ,16.0 ,17.8 
QUERÉTARO,15.0 ,16.7 ,19.4 ,20.7 ,23.0 ,21.3 ,19.9 ,20.1 ,20.0 ,19.4 ,16.6 ,16.1 ,19.0 
QUINTANA ROO,24.1 ,24.3 ,26.3 ,27.2 ,28.4 ,28.1 ,28.6 ,29.1 ,28.6 ,27.1 ,24.1 ,25.1 ,26.8 
SAN LUIS POTOSÍ,17.5 ,19.0 ,22.1 ,23.6 ,26.5 ,26.7 ,25.9 ,26.1 ,25.2 ,23.6 ,20.1 ,19.2 ,23.0 
SINALOA,19.4 ,19.5 ,20.8 ,24.2 ,27.8 ,29.8 ,29.5 ,29.5 ,28.7 ,27.1 ,24.3 ,20.5 ,25.1 
SONORA,15.2 ,14.8 ,17.1 ,21.7 ,26.0 ,29.7 ,29.2 ,29.7 ,27.5 ,24.0 ,19.9 ,14.5 ,22.4 
TABASCO,21.4 ,24.0 ,26.2 ,24.0 ,28.5 ,27.5 ,29.2 ,28.0 ,27.5 ,26.7 ,24.4 ,25.0 ,26.0 
TAMAULIPAS,18.3 ,18.7 ,22.9 ,25.8 ,27.9 ,29.1 ,28.7 ,29.5 ,27.9 ,25.6 ,21.4 ,19.8 ,24.6 
TLAXCALA,11.4 ,13.1 ,14.7 ,14.8 ,17.0 ,16.7 ,15.7 ,15.7 ,15.9 ,15.0 ,13.1 ,13.3 ,14.7 
VERACRUZ,18.8 ,20.1 ,22.6 ,24.2 ,25.6 ,25.3 ,24.5 ,24.8 ,24.4 ,23.2 ,20.5 ,20.9 ,22.9 
YUCATÁN,22.8 ,24.3 ,26.0 ,26.8 ,28.4 ,27.6 ,27.4 ,27.9 ,27.5 ,26.1 ,22.5 ,24.2 ,26.0 
ZACATECAS,12.2 ,13.3 ,16.8 ,18.2 ,21.0 ,21.1 ,19.8 ,19.8 ,18.3 ,18.2 ,15.3 ,13.5 ,17.3 
NACIONAL,16.6 ,17.3 ,19.9 ,22.5 ,24.8 ,26.0 ,25.4 ,25.9 ,24.4 ,22.8 ,19.4 ,17.4 ,21.9 
