llave_tiempo,año,mes_id,mes_desc,fecha
50001,2016,201601,january,1/31/2016
50002,2016,201602,february,2/28/2016
50003,2016,201603,march,3/31/2016
50004,2016,201604,april,4/30/2016
50005,2016,201605,may,5/31/2016
50006,2016,201606,june,6/30/2016
50007,2016,201607,july,7/31/2016
50008,2016,201608,august,8/31/2016
50009,2016,201609,september,9/30/2016
50010,2016,201610,october,10/31/2016
50011,2016,201611,november,11/30/2016
50012,2016,201612,december,12/31/2016
50013,2017,201701,january,1/31/2017
50014,2017,201702,february,2/28/2017
50015,2017,201703,march,3/31/2017
50016,2017,201704,april,4/30/2017
50017,2017,201705,may,5/31/2017
50018,2017,201706,june,6/30/2017
50019,2017,201707,july,7/31/2017
50020,2017,201708,august,8/31/2017
50021,2017,201709,september,9/30/2017
50022,2017,201710,october,10/31/2017
50023,2017,201711,november,11/30/2017
50024,2017,201712,december,12/31/2017
50025,2018,201801,january,1/31/2018
50026,2018,201802,february,2/28/2018
50027,2018,201803,march,3/31/2018
50028,2018,201804,april,4/30/2018
50029,2018,201805,may,5/31/2018
50030,2018,201806,june,6/30/2018
50031,2018,201807,july,7/31/2018
50032,2018,201808,august,8/31/2018
50033,2018,201809,september,9/30/2018
50034,2018,201810,october,10/31/2018
50035,2018,201811,november,11/30/2018
50036,2018,201812,december,12/31/2018
