branch_key,branch_name,branch_address,branch_city,branch_state,branch_zip
1,boston branch,"50 ROWES WHARF, FLOOR 4",Suffolk,MA,2110.0
2,milford (ford street) branch,370 BOSTON POST ROAD,New Haven,CT,6460.0
3,milford banking center branch,1651 BOSTON POST ROAD,,CT,6460.0
4,monroe ct branch,456 MONROE TURNPIKE,Fairfield,CT,6468.0
5,newtown branch,30 CHURCH HILL ROAD,Fairfield,CT,6470.0
6,boston post road & racebrook banking center,262 BOSTON POST ROAD,New Haven,CT,6477.0
7,shelton branch,675 BRIDGEPORT AVENUE,Fairfield,CT,6484.0
8,southbury green banking ctr branch,775 MAIN STREET SOUTH,New Haven,CT,6488.0
9,new haven church street branch,234 CHURCH STREET,New Haven,CT,6510.0
10,woodbridge amity rte 15 branch,149 AMITY ROAD,New Haven,CT,6515.0
11,bridgeport west side branch,1460 STATE STREET,Fairfield,CT,3324125.0
12,bridgeport north end branch,2125 MAIN STREET,Fairfield,CT,
13,bridgeport boston avenue branch,123 BOSTON AVENUE,Fairfield,CT,6610.0
14,trumbull quality street branch,"80 QUALITY STREET, TOWN HALL SC",Fairfield,CT,6611.0
15,trumbull center banking center branch,958 WHITE PLAINS ROAD,,CT,6611.0
16,stratford barnum avenue branch,2855 MAIN STREET,Fairfield,CT,6614.0
17,bethel library place bnkg ctr branch,9 DURANT AVE,Fairfield,CT,6801.0
18,cos cob banking center branch,371 EAST PUTNAM AVENUE,Fairfield,CT,6807.0
19,stony hill branch,111 NEWTON ROAD,Fairfield,CT,6810.0
20,danbury shoprite branch,"1-A PADANARAMA ROAD, NORTH STREET SC",Fairfield,CT,6811.0
21,danbury lake ave branch,42 LAKE AVE EXT,,CT,6811.0
22,federal road danbury,99 FEDERAL ROAD,,CT,6811.0
23,darien branch,454 POST ROAD,Fairfield,CT,6820.0
24,noroton heights banking ctr branch,165 NOROTON AVENUE,Fairfield,CT,6820.0
25,fairfield center branch,1401 POST ROAD,Fairfield,CT,6824.0
26,greenfield hill branch,161 HILLSIDE ROAD,Fairfield,CT,6824.0
27,fairfield kings crossing bnk ctr branch,340 GRASMERE AVENUE,Fairfield,CT,6824.0
28,fairfield woods branch,2272 BLACK ROCK TURNPIKE,Fairfield,,6825.0
29,greenwich financial center branch,3A PICKWICK PLAZA,Fairfield,,6830.0
30,mason street private banking branch,"191 MASON STREET, ELM STREET",Fairfield,,6830.0
31,greenwich avenue branch,197 GREENWICH AVENUE,,,6830.0
32,west putnam and valley branch,500 WEST PUTNAM AVENUE,,,6830.0
33,greenwich deerfield branch,111 W PUTNAM AVE,,,6830.0
34,glenville branch,21 GLENVILLE STREET,,,6831.0
35,banksville branch,1073 NORTH STREET,,,6831.0
36,new canaan branch,21 EAST AVENUE,Fairfield,,6840.0
37,new canaan drive-in branch,21 EAST AVENUE,Fairfield,,6840.0
38,norwalk waypointe branch,515 WEST AVENUE,Fairfield,,6850.0
39,south norwalk branch,50 WASHINGTON STREET,Fairfield,,6854.0
40,greenwich branch,260 SOUND BEACH AVENUE,Fairfield,CT,6870.0
41,ridgefield branch,92-98 GROVE STREET,Fairfield,CT,6877.0
42,riverside branch,1150 EAST PUTNAM AVENUE,Fairfield,CT,6878.0
43,westport main street branch,184 MAIN STREET,Fairfield,CT,6880.0
44,greens farms branch,1090 POST ROAD EAST,,CT,6880.0
45,southport branch,292 PEQUOT AVENUE,Fairfield,CT,6890.0
46,south wilton branch,34 DANBURY ROAD,Fairfield,CT,6897.0
47,wilton center branch,33 OLD RIDGEFIELD ROAD,,CT,6897.0
48,georgetown danbury road banking center,920 DANBURY ROAD,,CT,6897.0
49,stamford prospect street branch,45 PROSPECT STREET,Fairfield,CT,6901.0
