Institution Name,Main Office,Branch Name,Established Date (MMDDYYY),Acquired Date(MMDDYYY),Street Address,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits
Citi Bank,0,boston branch,4 de enero de 2003,08/16/2008,"50 ROWES WHARF, FLOOR 4",Suffolk,MA,2110,42.35597,-71.04981,0,0,0,0,0,0,0
Citi Bank,0,milford (ford street) branch,09/16/1967,07/14/1996,370 BOSTON POST ROAD,New Haven,CT,6460,41.22554,-73.07122,82623,83772,86838,86705,87268,89086,99210
Citi Bank,0,milford banking center branch,7 de enero de 2010,,1651 BOSTON POST ROAD,,CT,6460,41.24752,-73.02523,,5102,11847,18696,24017,28134,33414
Citi Bank,0,monroe ct branch,8 de agosto de 1979,07/14/1996,456 MONROE TURNPIKE,Fairfield,CT,6468,41.31428,-73.21837,63203,66795,68238,76666,79725,82839,84911
Citi Bank,0,newtown branch,12/28/1974,07/14/1996,30 CHURCH HILL ROAD,Fairfield,CT,6470,41.41458,-73.30159,51729,58509,65722,76224,84761,87607,100543
Citi Bank,0,boston post road & racebrook banking center,12 de agosto de 2009,,262 BOSTON POST ROAD,New Haven,CT,6477,41.26741,-73.00073,11091,22112,35691,47681,70920,76043,82218
Citi Bank,0,shelton branch,7 de octubre de 1982,07/14/1996,675 BRIDGEPORT AVENUE,Fairfield,CT,6484,41.27746,-73.12147,67941,62727,69288,70702,85380,82786,93207
Citi Bank,0,southbury green banking ctr branch,11 de julio de 2011,,775 MAIN STREET SOUTH,New Haven,CT,6488,41.46081,-73.23458,,,6638,16482,27050,35887,45501
Citi Bank,0,new haven church street branch,12/15/1986,07/14/1996,234 CHURCH STREET,New Haven,CT,6510,41.30935,-72.92335,98624,91812,109615,118269,125632,138889,189656
Citi Bank,0,woodbridge amity rte 15 branch,04/17/2013,,149 AMITY ROAD,New Haven,CT,6515,,,,,,1758,11312,18187,28222
Citi Bank,0,bridgeport west side branch,4 de febrero de 1962,07/14/1996,1460 STATE STREET,Fairfield,CT,3324125,41.16995,-73.21084,16450,15577,15988,16648,17842,19279,20215
Citi Bank,0,bridgeport north end branch,1 de marzo de 1949,07/14/1996,2125 MAIN STREET,Fairfield,CT,,41.19223,-73.19738,91824,84917,84803,89759,87182,90983,93821
Citi Bank,0,bridgeport boston avenue branch,11 de junio de 1958,07/14/1996,123 BOSTON AVENUE,Fairfield,CT,6610,41.20225,-73.18715,32025,33208,30830,34204,33075,36483,37338
CITIBANK,0,trumbull quality street branch,12 de noviembre de 1965,07/14/1996,"80 QUALITY STREET, TOWN HALL SC",Fairfield,CT,6611,41.25599,-73.21702,55558,58377,60524,59755,63373,66116,69359
CITIBANK,0,trumbull center banking center branch,10/19/2009,,958 WHITE PLAINS ROAD,,CT,6611,41.24519,-73.19697,50863,52934,56835,60412,59201,61880,61292
CITIBANK,0,stratford barnum avenue branch,8 de junio de 1959,07/14/1996,2855 MAIN STREET,Fairfield,CT,6614,41.19947,-73.13164,107234,108717,107494,103394,104079,105200,166129
CITIBANK,0,bethel library place bnkg ctr branch,4 de febrero de 2008,,9 DURANT AVE,Fairfield,CT,6801,41.37748,-73.41736,11762,15404,18279,21514,29568,32838,36854
CITIBANK,0,cos cob banking center branch,2 de octubre de 2012,,371 EAST PUTNAM AVENUE,Fairfield,CT,6807,41.03939,-73.59661,,,6792,18412,28279,32886,38415
CITIBANK,0,stony hill branch,09/24/1966,07/14/1996,111 NEWTON ROAD,Fairfield,CT,6810,41.41452,-73.4063,110704,118522,126303,134272,129342,133807,144766
CITIBANK,0,danbury shoprite branch,06/30/1998,,"1-A PADANARAMA ROAD, NORTH STREET SC",Fairfield,CT,6811,41.42438,-73.48288,23256,23621,26519,30861,32064,36867,38119
CITIBANK,0,danbury lake ave branch,09/25/2008,,42 LAKE AVE EXT,,CT,6811,41.44298,-73.48866,9006,12077,14088,28552,22340,21664,25836
CITIBANK,0,federal road danbury,3 de abril de 2014,,99 FEDERAL ROAD,,CT,6811,41.42785,-73.41758,,,,,6148,13003,23440
CITIBANK,0,darien branch,10 de mayo de 1979,07/14/1996,454 POST ROAD,Fairfield,CT,6820,41.08477,-73.46233,142841,145601,145549,166939,179178,176695,179940
CITIBANK,0,noroton heights banking ctr branch,12/16/2009,,165 NOROTON AVENUE,Fairfield,CT,6820,41.06962,-73.49136,11497,30110,38286,47355,60487,66943,78550
CITIBANK,0,fairfield center branch,6 de enero de 1937,07/14/1996,1401 POST ROAD,Fairfield,CT,6824,41.14153,-73.25641,210069,260132,286163,275514,262630,249255,271962
CITIBANK,0,greenfield hill branch,07/31/1973,07/14/1996,161 HILLSIDE ROAD,Fairfield,CT,6824,41.16264,-73.28397,66475,66670,67826,69132,79192,73426,89757
CITIBANK,0,fairfield kings crossing bnk ctr branch,11/18/2011,,340 GRASMERE AVENUE,Fairfield,CT,6824,41.15678,-73.24153,,,4025,8500,11563,14056,14990
CITIBANK,0,fairfield woods branch,03/15/1969,07/14/1996,2272 BLACK ROCK TURNPIKE,Fairfield,,6825,41.18273,-73.25433,109559,113381,118833,122273,123641,130116,142158
CITIBANK,0,greenwich financial center branch,07/15/1987,07/14/1996,3A PICKWICK PLAZA,Fairfield,,6830,41.03016,-73.62546,245289,230703,303529,322360,372310,323202,337303
CITIBANK,0,mason street private banking branch,3 de febrero de 1998,,"191 MASON STREET, ELM STREET",Fairfield,,6830,41.0255,-73.6242,0,0,0,0,0,0,0
CITIBANK,0,greenwich avenue branch,10 de enero de 1954,10/01/2006,197 GREENWICH AVENUE,,,6830,41.02771,-73.62612,56095,58215,80322,81313,102330,96767,110893
CITIBANK,0,west putnam and valley branch,5 de mayo de 1973,10/01/2006,500 WEST PUTNAM AVENUE,,,6830,41.0186,-73.6454,62905,75418,72121,81385,86619,99170,97109
CITIBANK,0,greenwich deerfield branch,10 de enero de 2006,,111 W PUTNAM AVE,,,6830,41.02782,-73.62979,169426,182927,180158,169807,195031,314088,333926
CITIBANK,0,glenville branch,11 de diciembre de 1963,10/01/2006,21 GLENVILLE STREET,,,6831,41.03841,-73.66705,31214,39732,44050,48032,49076,52670,56826
