ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,13.4 ,15.6 ,15.8 ,19.4 ,21.5 ,22.8 ,20.4 ,20.7 ,20.1 ,18.6 ,16.1 ,13.4 ,18.2 
BAJA CALIFORNIA,12.9 ,13.7 ,18.6 ,19.2 ,23.5 ,25.5 ,26.5 ,26.9 ,26.7 ,22.2 ,18.1 ,14.2 ,20.7 
BAJA CALIFORNIA SUR,16.8 ,17.5 ,21.0 ,21.4 ,23.8 ,27.0 ,29.0 ,29.7 ,28.3 ,25.1 ,22.2 ,19.0 ,23.4 
CAMPECHE,24.6 ,26.2 ,25.8 ,29.9 ,30.3 ,29.0 ,28.9 ,29.0 ,28.5 ,28.3 ,26.4 ,25.4 ,27.7 
COAHUILA,13.4 ,17.3 ,19.3 ,22.9 ,25.9 ,28.9 ,28.2 ,29.5 ,26.3 ,22.3 ,15.8 ,12.5 ,21.9 
COLIMA,25.0 ,24.3 ,24.9 ,24.9 ,26.3 ,28.5 ,27.9 ,27.6 ,27.0 ,27.7 ,26.8 ,25.5 ,26.4 
CHIAPAS,22.8 ,24.4 ,24.5 ,26.9 ,26.7 ,25.8 ,25.5 ,25.5 ,25.1 ,25.5 ,23.9 ,22.8 ,24.9 
CHIHUAHUA,9.3 ,11.6 ,15.6 ,18.9 ,21.9 ,27.4 ,25.1 ,24.6 ,22.6 ,18.7 ,13.4 ,10.6 ,18.3 
DISTRITO FEDERAL,15.1 ,17.7 ,16.8 ,20.5 ,20.5 ,19.8 ,19.0 ,18.6 ,18.3 ,18.3 ,16.3 ,15.8 ,18.1 
DURANGO,11.4 ,14.1 ,15.9 ,19.4 ,21.7 ,25.2 ,22.4 ,22.4 ,20.5 ,19.2 ,15.0 ,12.8 ,18.3 
GUANAJUATO,15.7 ,17.9 ,17.5 ,21.2 ,22.6 ,22.5 ,20.7 ,20.7 ,20.4 ,19.6 ,17.5 ,15.2 ,19.3 
GUERRERO,24.0 ,24.5 ,25.3 ,26.4 ,26.5 ,26.3 ,25.8 ,25.4 ,25.2 ,25.5 ,24.3 ,23.8 ,25.2 
HIDALGO,14.9 ,17.4 ,16.6 ,20.7 ,20.7 ,20.3 ,19.7 ,19.2 ,19.2 ,18.5 ,16.0 ,15.1 ,18.2 
JALISCO,16.9 ,18.8 ,19.2 ,22.1 ,22.9 ,24.6 ,22.4 ,22.7 ,22.1 ,21.8 ,19.1 ,17.0 ,20.8 
ESTADO DE MÉXICO,12.9 ,14.6 ,15.3 ,17.0 ,18.3 ,18.4 ,16.5 ,16.4 ,16.6 ,15.5 ,13.2 ,12.7 ,15.6 
MICHOACÁN,17.0 ,18.6 ,17.2 ,21.3 ,21.8 ,22.5 ,21.3 ,21.1 ,20.8 ,21.7 ,18.9 ,17.4 ,20.0 
MORELOS,19.7 ,21.5 ,22.6 ,25.1 ,24.7 ,23.0 ,22.2 ,22.6 ,21.8 ,22.2 ,20.9 ,19.9 ,22.2 
NAYARIT,21.8 ,21.9 ,22.9 ,24.8 ,26.0 ,28.2 ,27.8 ,28.3 ,27.6 ,28.2 ,26.0 ,23.5 ,25.6 
NUEVO LEÓN,14.6 ,18.8 ,20.0 ,23.0 ,25.3 ,28.0 ,27.6 ,27.9 ,25.1 ,22.7 ,17.0 ,13.7 ,22.0 
OAXACA,22.8 ,24.3 ,24.6 ,26.8 ,26.7 ,27.0 ,26.7 ,26.6 ,25.5 ,25.4 ,23.9 ,22.0 ,25.2 
PUEBLA,15.4 ,17.7 ,17.4 ,20.6 ,20.5 ,20.1 ,19.4 ,19.5 ,18.9 ,18.6 ,16.4 ,15.7 ,18.4 
QUERÉTARO,15.9 ,18.2 ,17.1 ,21.9 ,22.5 ,22.6 ,21.4 ,21.2 ,20.4 ,19.4 ,16.7 ,15.9 ,19.4 
QUINTANA ROO,25.2 ,26.0 ,24.6 ,27.9 ,28.4 ,28.3 ,27.9 ,28.1 ,27.5 ,27.5 ,26.4 ,26.0 ,27.0 
SAN LUIS POTOSÍ,17.6 ,21.5 ,21.4 ,25.2 ,26.5 ,27.6 ,26.6 ,26.6 ,25.2 ,23.0 ,19.4 ,16.6 ,23.1 
SINALOA,18.6 ,19.4 ,22.1 ,23.5 ,26.4 ,30.1 ,29.7 ,29.6 ,28.5 ,27.2 ,24.4 ,20.8 ,25.0 
SONORA,12.6 ,13.9 ,19.8 ,21.3 ,25.3 ,30.6 ,30.2 ,30.3 ,28.3 ,22.6 ,19.6 ,14.7 ,22.4 
TABASCO,23.7 ,25.8 ,25.4 ,29.0 ,29.1 ,28.3 ,28.2 ,28.2 ,28.1 ,27.8 ,25.8 ,23.9 ,26.9 
TAMAULIPAS,17.7 ,22.0 ,22.1 ,25.1 ,27.2 ,29.6 ,29.0 ,29.3 ,27.2 ,25.5 ,20.4 ,16.0 ,24.3 
TLAXCALA,13.2 ,15.0 ,14.2 ,17.4 ,18.0 ,16.8 ,16.1 ,16.5 ,16.5 ,15.9 ,13.9 ,13.2 ,15.6 
VERACRUZ,19.3 ,22.2 ,21.6 ,24.7 ,25.7 ,26.3 ,25.7 ,25.7 ,25.1 ,24.4 ,21.1 ,19.7 ,23.5 
YUCATÁN,23.5 ,25.4 ,24.4 ,28.8 ,29.0 ,28.4 ,27.9 ,28.2 ,27.6 ,27.4 ,26.0 ,24.9 ,26.8 
ZACATECAS,12.3 ,14.7 ,15.1 ,18.6 ,21.1 ,22.2 ,19.5 ,20.0 ,19.1 ,18.1 ,15.6 ,13.0 ,17.4 
NACIONAL,16.0 ,18.2 ,19.9 ,22.6 ,24.6 ,26.8 ,25.9 ,26.0 ,24.7 ,22.7 ,19.2 ,16.5 ,21.9 
