state 	landarea 	popu 	murd 	rape 	robb 	assa 	burg 	larc 	auto 	reg 	div
ME 	33265 	1164 	1.5 	7.0 	12.6 	62 	562 	1055 	146 	1 	1
NH 	9279 	998 	2.0 	6 	12.1 	36 	566 	929 	172 	1 	1
VT 	9614 	535 	1.3 	10.3 	7.6 	55 	731 	969 	124 	1 	1
MA 	8284 	5822 	3.5 	12.0 	99.5 	88 	1134 	1531 	878 	1 	1
RI 	1212 	968 	3.2 	3.6 	78.3 	120 	1019 	2186 	859 	1 	1
CT 	5018 	3174 	3.5 	9.1 	70.4 	87 	1084 	1751 	484 	1 	1
NY 	49108 	17783 	7.9 	15.5 	443.3 	209 	1414 	2025 	682 	1 	2
NJ 	7787 	7562 	5.7 	12.9 	169.4 	90 	1041 	1689 	557 	1 	2
PA 	45308 	11853 	5.3 	11.3 	106.0 	90 	594 	11 	340 	1 	2
OH 	41330 	10744 	6.6 	16.0 	145.9 	116 	854 	1944 	493 	2 	3
IN 	36185 	5499 	4.8 	17.9 	107.5 	95 	860 	1791 	429 	2 	3
IL 	56345 	11535 	9.6 	20.4 	251.1 	187 	765 	2028 	518 	2 	3
MI 	58527 	9088 	9.4 	27.1 	346.6 	193 	1571 	2897 	464 	2 	3
WI 	56153 	4775 	2.0 	6.7 	33.1 	44 	539 	1860 	218 	2 	3
MN 	84402 	4193 	2.0 	9.7 	89.1 	51 	802 	1902 	346 	2 	4
IA 	56275 	2884 	1.9 	6.2 	28.6 	48 	507 	1743 	175 	2 	4
MO 	69697 	5029 	10.7 	27.4 	2.8 	167 	1187 	2074 	538 	2 	4
ND 	70703 	685 	0.5 	6.2 	6.5 	21 	286 	1295 	91 	2 	4
SD 	77116 	708 	3.8 	11.1 	17.1 	60 	471 	1396 	94 	2 	4
NE 	77355 	1606 	3.0 	9.3 	57.3 	115 	505 	1572 	292 	2 	4
KS 	82277 	2450 	4.8 	14.5 	75.1 	108 	882 	2302 	257 	2 	4
DE 	2044 	622 	7.7 	18.6 	105.5 	196 	1056 	2320 	559 	3 	5
MD 	10460 	4392 	9.2 	23.9 	338.6 	253 	1051 	2417 	548 	3 	5
VA 	40767 	5706 	8.4 	15.4 	92.0 	143 	806 	1980 	297 	3 	5
WV 	24231 	1936 	6.2 	6.7 	27.3 	84 	389 	774 	92 	3 	5
NC 	52669 	6255 	11.8 	12.9 	53.0 	293 	766 	1338 	169 	3 	5
SC 	31113 	3347 	14.6 	18.1 	60.1 	193 	1025 	1509 	256 	3 	5
GA 	58910 	5976 	15.3 	10.1 	95.8 	177 	9 	1869 	309 	3 	5
FL 	58664 	11366 	12.7 	22.2 	186.1 	277 	1562 	2861 	397 	3 	5
KY 	40409 	3726 	11.1 	13.7 	72.8 	123 	704 	1212 	346 	3 	6
TN 	42144 	4762 	8.8 	15.5 	82.0 	169 	807 	1025 	289 	3 	6
AL 	51705 	4021 	11.7 	18.5 	50.3 	215 	763 	1125 	223 	3 	6
MS 	47689 	2613 	11.5 	8.9 	19.0 	140 	351 	694 	78 	3 	6
AR 	53187 	2359 	10.1 	17.1 	45.6 	150 	885 	1211 	109 	3 	7
LA 	47751 	4481 	11.7 	23.1 	140.8 	238 	890 	1628 	385 	3 	7
OK 	69956 	3301 	5.9 	15.6 	54.9 	127 	841 	1661 	280 	3 	7
TX 	266807 	16370 	11.6 	21.0 	134.1 	195 	1151 	2183 	394 	3 	7
MT 	147046 	826 	3.2 	10.5 	22.3 	75 	594 	1956 	222 	4 	8
ID 	83564 	15 	4.6 	12.3 	20.5 	86 	674 	2214 	144 	4 	8
WY 	97809 	509 	5.7 	12.3 	22.0 	73 	646 	2049 	165 	4 	8
CO 	104091 	3231 	6.2 	36.0 	129.1 	185 	1381 	2992 	588 	4 	8
NM 	121593 	1450 	9.4 	21.7 	66.1 	196 	1142 	2408 	392 	4 	8
AZ 	1140 	3187 	9.5 	27.0 	120.2 	214 	1493 	3550 	501 	4 	8
UT 	84899 	1645 	3.4 	10.9 	53.1 	70 	915 	2833 	316 	4 	8
NV 	110561 	936 	8.8 	19.6 	188.4 	182 	1661 	3044 	661 	4 	8
WA 	68138 	4409 	3.5 	18.0 	93.5 	106 	1441 	2853 	362 	4 	9
OR 	97073 	2687 	4.6 	18.0 	102.5 	132 	1273 	2825 	333 	4 	9
CA 	158706 	26365 	6.9 	35.1 	206.9 	226 	1753 	3422 	689 	4 	9
AK 	5914 	521 	12.2 	26.1 	71.8 	168 	790 	2183 	551 	4 	9
HI 	6471 	1054 	3.6 	11.8 	63.3 	43 	1456 	3106 	581 	4 	9 
