FromNodeId ToNodeId
3630 23939
4846 2133
4513 2741
12885 15999
16091 11052
15415 24640
18487 14419
20647 4023
178 23363
20303 9983
3387 22320
13177 16817
4774 16717
10356 19062
18771 24593
4364 15562
188 17461
15005 18685
12554 7636
18723 5385
24617 2457
12478 24833
3814 3652
13929 25562
5432 14302
19865 7452
15125 3716
22691 773
15365 16931
15714 1023
22901 24615
19215 25836
2805 25006
4263 18282
8153 16728
22691 1653
19466 24128
4364 2457
7383 11447
13142 19657
21754 24270
3804 6556
4639 6387
6317 15664
1653 21508
4106 17782
4466 12545
13714 20511
23293 2952
17692 9785
