ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,13.0 ,16.7 ,18.8 ,19.9 ,21.9 ,21.3 ,20.5 ,20.4 ,19.9 ,18.5 ,14.7 ,12.7 ,18.2 
BAJA CALIFORNIA,16.3 ,15.5 ,16.6 ,20.4 ,20.5 ,24.3 ,28.6 ,29.6 ,27.2 ,21.6 ,17.1 ,13.8 ,21.0 
BAJA CALIFORNIA SUR,19.7 ,19.9 ,20.7 ,22.9 ,24.8 ,26.9 ,29.9 ,29.9 ,29.3 ,25.7 ,22.1 ,19.2 ,24.3 
CAMPECHE,22.3 ,26.1 ,27.5 ,28.5 ,28.9 ,28.8 ,29.0 ,28.4 ,28.4 ,27.4 ,26.0 ,24.4 ,27.1 
COAHUILA,11.7 ,18.0 ,20.5 ,22.2 ,27.4 ,29.4 ,28.7 ,28.7 ,24.7 ,21.5 ,15.5 ,13.6 ,21.8 
COLIMA,25.2 ,26.2 ,25.8 ,25.8 ,28.7 ,28.4 ,29.5 ,28.4 ,28.4 ,27.8 ,26.5 ,25.6 ,27.2 
CHIAPAS,21.8 ,24.7 ,26.1 ,26.5 ,26.9 ,25.8 ,26.0 ,25.7 ,25.8 ,25.3 ,24.7 ,22.4 ,25.1 
CHIHUAHUA,11.0 ,14.8 ,17.0 ,20.4 ,24.7 ,26.7 ,25.6 ,24.7 ,22.6 ,18.7 ,13.3 ,10.8 ,19.2 
DISTRITO FEDERAL,13.4 ,17.0 ,19.2 ,19.3 ,20.3 ,19.6 ,19.0 ,18.2 ,18.7 ,18.0 ,16.0 ,14.9 ,17.8 
DURANGO,12.1 ,15.9 ,18.8 ,20.4 ,23.4 ,24.5 ,23.6 ,23.3 ,21.0 ,18.7 ,14.0 ,11.8 ,19.0 
GUANAJUATO,13.9 ,17.4 ,20.3 ,21.3 ,22.8 ,21.4 ,20.7 ,20.4 ,20.2 ,19.7 ,16.4 ,14.5 ,19.1 
GUERRERO,22.9 ,24.4 ,25.7 ,26.5 ,27.1 ,26.0 ,26.5 ,25.2 ,25.4 ,25.0 ,24.2 ,23.4 ,25.2 
