product_id,store_id,missing
1,1,no se detecto incumplimiento
2,2,no se detecto incumplimiento
3,3,no se detecto incumplimiento
4,4,no se detecto incumplimiento
5,5,no se detecto incumplimiento
6,6,no se detecto incumplimiento
7,7,no se detecto incumplimiento
8,8,no se detecto incumplimiento
9,9,no se detecto incumplimiento
10,10,no se detecto incumplimiento
11,11,no se detecto incumplimiento
12,12,no se detecto incumplimiento
13,13,no se detecto incumplimiento
14,14,no se detecto incumplimiento
15,15,no se detecto incumplimiento
16,15,no se detecto incumplimiento
17,15,no se detecto incumplimiento
18,16,no se detecto incumplimiento
19,16,no se detecto incumplimiento
20,16,no se detecto incumplimiento
21,17,no se detecto incumplimiento
22,17,no se detecto incumplimiento
23,18,no se detecto incumplimiento
24,18,no se detecto incumplimiento
25,19,no se detecto incumplimiento
26,19,no se detecto incumplimiento
27,19,no se detecto incumplimiento
28,20,no se detecto incumplimiento
29,21,no se detecto incumplimiento
30,22,no se detecto incumplimiento
31,22,no se detecto incumplimiento
32,22,no se detecto incumplimiento
33,23,no se detecto incumplimiento
34,23,no se detecto incumplimiento
35,24,no se detecto incumplimiento
36,24,no se detecto incumplimiento
37,25,no se detecto incumplimiento
38,25,no se detecto incumplimiento
39,25,no se detecto incumplimiento
40,26,no se detecto incumplimiento
41,26,no se detecto incumplimiento
42,27,no se detecto incumplimiento
43,27,no se detecto incumplimiento
44,28,no se detecto incumplimiento
45,28,no se detecto incumplimiento
46,29,no se detecto incumplimiento
47,29,no se detecto incumplimiento
48,30,no se detecto incumplimiento
49,30,no se detecto incumplimiento
50,31,no se detecto incumplimiento
51,31,no se detecto incumplimiento
52,32,no se detecto incumplimiento
53,32,no se detecto incumplimiento
54,33,no se detecto incumplimiento
55,33,no se detecto incumplimiento
56,34,no se detecto incumplimiento
57,34,no se detecto incumplimiento
58,35,no se detecto incumplimiento
59,35,no se detecto incumplimiento
60,36,no se detecto incumplimiento
61,36,no se detecto incumplimiento
62,37,no se detecto incumplimiento
63,37,no se detecto incumplimiento
64,38,no se detecto incumplimiento
65,38,no se detecto incumplimiento
66,39,no se detecto incumplimiento
67,39,no se detecto incumplimiento
68,40,no se detecto incumplimiento
69,40,no se detecto incumplimiento
70,41,no se detecto incumplimiento
71,41,no se detecto incumplimiento
