product_id,product_name,product_description
1,MUÑECOS,EN EMPAQUE DE CARTON ESTAMPADO Y PLASTICO RIGIDO  MUÑECA PARA NIÑA DE LA MARCA BARBIE DE ORIGEN CHINA. CONTENIDO UNA PIEZA MODELO BARBIE BASICA LIFE FASHION CON NUMERO DE LOTE T7439 INDICA INFORMACION IMPORTANTE PARA CONSULTA  IMPO
2,ROPA CABALLERO,CAMISA PARA CABALLERO EN COLOR AZUL MARINO DE LA MARCA C & A DE ORIGEN BANGLADESH  IMPORTADO POR C & A MEXICO  DE COMPOSICION EN 64% ALGODON  32% POLIAMIDA Y 4% ELASTANO CON NUMERO DE LOTE 252959. CONTIENE INSTRUCCIONES DE CUIDADO
3,BRANDY,"UNA BOTELLA BRANDY DE LA MARCA TORRES 10 CON LA LEYENDA 100% DE UVA  GRAN RESERVA CON 38% ALC. VOL. CON UN CONTENIDO NETO DE 700ML CON SELLO DE SHCP CON LA LEYENDA ""EL ABUSE EN EL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD"""
4,BRANDY,ENVASE DE VIDRIO CONTENIDO BRANDY DE LA MARCA AZTECA DE ORO  SOLERA RESERVADA CON 38% ALC. VOL. CONTENIDO NETO 700ML HECHO ENMEXICO PRODUCTO 100% DE UVA FABRICADO POR INDUSTRIAS VINICOLAS PEDRO DOMER  S.A. DE C.V.
5,BRANDY,BOTELLA DE VIDRIO CONTENIDO BRANDY 100% UVA GRAN RESERVA MARCA TORRES 10 CONT. NET. 700ML  38%ALC. VOL. ORIGEN ESPAÑA
6,BRANDY,BOTELLA DE VIDRIO CONTENIDO BRANDY 100% DE UVA MARCA TORRES 10 CONTENIDO NETO 700 ML  38% ALC. VOL. ORIGEN ESPAÑA
7,ZAPATOS,ZAPATOS EN COLOR ROJO PARA CABALLERO DE LA MARCA PUMA DE LA TALLA 24 CORTE PIEL VACUNO  FORRO TEXTIL  SUELA SINTETICA HECHO EN INDONESIA IMPORTADO Y DISTRIBUIDO POR DA MEXICO CALZADO Y ARTICULOS DEPORTIVOS S. DE R.L. DE C.V.
8,ROPA,VESTIDO CORTO ESTILO 12249  TALLA 13  100% POLIESTER  FORRO NACIONAL. LAVAR EN SECO. NO USAR BLANQUEADOR. PLANCHAR CON LIENZO HECHO EN MEXICO DE LA MARCA LA DIFFERENCE  S.A. DE C.V.
9,RON,"EN ENVASE DE VIDRIO CONTENIDO 750 ML DE RON TIPO SOLERA DE LA MARCA BACARDI CON 38% ALC. VOL. HECHO EN MEXICO CON LEYENDA INSERTA: EL ABUSO EN EL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD"""
10,TEQUILA,BOTELLA DE VIDRIO CONTENIDO TEQUILA 100% DE AGAVE MARCA GRAN CENTENARIO REPOSADO. HECHO EN MEXICO CONTENIDO NETO 950 ML 35% ALC. VOL. CON LEYENDA DE ABUSO DEL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD
11,BRANDY,"ENVSE DE VIDRIO CONTENIDO BRANDY PENEDES 100% DE UVA GRAN RESERVA TORRES 10 ORIGEN ESPAÑA CON CONTENIDO NETO 750 ML  38% ALC. VOL. CON LEYENDA ""ESTE PRODUCTO EN EXCESO ES NOCIVO PARA LA SALUD"" LOTE 6424821"
12,BRANDY,"BOTELLA DE VIDRIO CONTENIDO BRANDY 100% DE UVA GRAN RESERVA MARCA TORRES 10 CONT. NET. 700ML  38% ALC. VOL. DE ORIGEN ESPAÑA CON LA LEYENDA ""EL ABUSO EN EL CONSUMO DE ESTE PRODUCTO ES NOVICO PARA LA SALUD"" LOTE L414211"
13,BRANDY,"BOTELLA DE SOLERA GRAN RESERVA DE LA MARCA TORRES 5 CON UN CONTENIDO DE 700ML Y 38% ALC. VOL.  100% UVA CON LA LEYENDA""EL ABUSO EN ELCONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD"""
14,CERVEZA,"ENVASE DE VIDRIO CON CONTENIDO NETO DE 355 ML DE CERVEZA NEGRA DE LA MARCA MODELO CON 5.3 ALC. VOL. HECHO EN MEXICO CON LA LEYENDA ""EL ABUSO EN EL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD"""
15,TEQUILA,ENVASE DE VIDRIO CONTENIDO 700 ML DE TEQUILA REPOSTADO  100% DE AGAVE  CON 35% VOL. ALC. HECHO EN MEXICO CON NeMERO DE LOTE 35613 DE LA MARCA CENTENARIO
16,MEZCAL,ENVASE DE VIDRIO CONTENIDO MEZCAL  750ML 100% DE AGAVE  HECHO EN MEXICO  38% VOL. ALC. HECHO EN MEXICO DE LA MARCA EL SEÑORIO  MEZCAL JOVEN CON GUSANO
17,BRANDY,ENVASE DE VIDRIO CON CONTENIDO NETO DE 700ML DE BRANDY IMPERIAL  100% DE UVA CON 38% ALC. VOL. DE LA MARCA TORRES 10
