store_id,store_name,store_purpose,state_id
1,JULIO CEPEDA JUGUETERIAS S.A. DE C.V.,JUGUETERIA,1
2,C&A DE MEXICO S. DE R.L.,TIENDA DEPARTAMENTAL,1
3,ASFEIXAS  S.A. DE C.V.,MOTEL,1
4,MOTEL VILLA MIRO- MIRO HOTELERIA  S.A. DE C.V.,MOTEL,1
5,MOTEL LUA- COMPA�IA HOTELERA PESCADORES  S.A. DE C.V.,MOTEL,1
6,MOTEL PEDRA- PEDRA  S.A. DE C.V.,MOTEL,1
7,CANDY STREET- CLAUDIA STEPHANIE MORA GARCIA,ZAPATERIA,1
8,VICKY BOUTIQUE- ROCIO ESPARZA ORTIZ,ROPA PARA DAMA,1
9,MOTEL CASTILLO-CIA. HOTELERA FENTOS  S. A. DE C. V.,HOTEL,1
10,MOTEL LOS ARCOS S.A. DE C.V.,BAR,1
11,RESTAURANTE LOS ARCOS- MARIS BAJA  S.A. DE C.V.,RESTAURANT-BAR,1
12,EL ALMACEN DEL BIFE- SI NO HAY PARA TODOS NO HAY PARA NADIE  S.A. DE C.V.,RESTAURANT-BAR,1
13,ANTIGUA HACIENDA LA NORIA- HECTOR FLORES AGUILAR,RESTAURANT-BAR,1
14,VIRREY BUFFETS S.A. DE C.V.,RESTAURANTE,1
15,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,BAR,1
16,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,RESTAURANT-BAR,1
17,CADENA COMERCIAL OXXO  S. A. DE C.V.,TIENDA DE AUTOSERVICIO,1
18,FARMACIA GUADALAJARA  S. A. DE C. V.,TIENDAS DE AUTOSERVICIO ESPECIALIZADAS,1
19,ABARROTES - JOSE ALVARO NU�EZ GUZMAN,ABARROTES,1
20,SUPERAMA-NUEVA WAL MART DE MEXICO  S. DE R. L. DE C. V.,TIENDA DE AUTOSERVICIO,1
21,SAM'S CLUB- NUEVA WAL MART DE MEXICO  S DE RL DE CV,TIENDA DEPARTAMENTAL,1
22,CADENA COMERCIAL OXXO SA DE CV,TIENDA DE AUTOSERVICIO,1
23,CADENA COMERCIAL OXXO SA DE CV   (COLON),ABARROTES,1
24,CADENA COMERCIAL OXXO SA DE CV  (MORELOS),ABARROTES,1
25,LA BOMBILLA VINOS SA DE CV,BEBIDAS ALCOHOLICAS,1
26,TIENDAS EXTRA S.A DE C.V,ABARROTES,1
27,FARMACIAS BENAVIDES S.A.B. DE C.V.,FARMACIA,1
28,CADENA COMERCIAL OXXO  S. A. DE C. V.,ABARROTES,1
29,BODEGA AURRERA EXPRESS -  NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.,TIENDAS DE CONVENIENCIA,1
30,COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE CV / FARMACIAS DEL AHORRO,FARMACIA,1
31,DEL SOL-GRUPO COMERCIAL CONTROL  S. A. DE C. V.,TIENDA DEPARTAMENTAL,1
32,SEARS OPERADORA DE MEXICO  S. A. DE C. V.,TIENDA DEPARTAMENTAL,1
33,DISTRIBUIDORA LIVERPOOL  SA DE CV,TIENDA DEPARTAMENTAL,1
34,LA SANTA - GRUPO ANTROMEX DE OCCIDENTE,DISCOTEQUE,1
35,EL DIVINO - OH PRODUCTIONS S.A. DE C.V.,DISCOTEQUE,1
36,HARD,DISCOTEQUE,1
37,SANTISIMA- AROB  S.A. DE C.V.,DISCOTEQUE,1
38,LAS COSTILLAS DE SANCHO - CUENTA EMPRESARIAL S.A. DE C.V.,RESTAURANT-BAR,1
39,LA MANSION - RICHYCARLS S.A. DE C.V.,RESTAURANT-BAR,1
40,RUIDOSO - PEYC CONSTRUCCIONES S.A. DE C.V.,DISCOTEQUE,1
41,LA MAJADA-ILIANA RODRIGUEZ GARCIA,RESTAURANT-BAR,1
42,LA GARUFA REST. ARGENTINO - GASTRONOMIA AG  S. A. DE C. V.,RESTAURANT-BAR,1
43,EL COSTE�ITO - CANGREJITO PLAYERO S.A. DE C.V.,RESTAURANT-BAR,1
44,SAN PANCHO - HUGO SANDOVAL RUVALCABA,RESTAURANT-BAR,1
45,MANDALA - GRUPO ANTROMEX DE OCCIDENTE,DISCOTEQUE,1
46,MOJITO ROYAL - OPERADORA DE SERVICIOS INTEGRALES EH DIVERSION S.A. DE C.V.,DISCOTEQUE,1
47,CIELITO LINDO- MARIA DEL SOCORRO JIMENEZ GARCIA,DISCOTEQUE,1
48,SINCLAIR - OPERADORA DE SERVICIOS INTEGRALES EN DIVERSION S.A. DE C.V.,DISCOTEQUE,1
49,LA ULTIMA LUNA - FRANCISCO PADILLA RAMIREZ,DISCOTEQUE,1
50,MICHELADAS GALERIAS - ENRIQUE EDUARDO ROJERO GONZALEZ,BAR,1
51,CSP DE AGUASCALIENTES S.A. DE C.V.,RESTAURANTE,1
52,FAVELA - JULIO TORRE LOMELI,RESTAURANT-BAR,1
53,LA CANTINA DE ANTA�O - JOSE LUIS MAGA�A GONZALEZ,RESTAURANT-BAR,1
54,KARNES EN SU JUGO - ALDE ROSA MARTINEZ PEREZ,RESTAURANT-BAR,1
55,MERENDERO SAN PANCHO - EXQUISIMAR S.A. DE C.V.,RESTAURANT-BAR,1
56,BURANA,BAR,1
57,LOS RIELES,RESTAURANT-BAR,1
58,GRUPO PERA DEL CENTRO S.A. DE C.V.,RESTAURANT-BAR,1
59,SONORA'S MEAT BOUTIQUE DE CORTES FINOS,RESTAURANT-BAR,1
