product_id,store_id,missing_requirement
1,1,NO SE DETECTO INCUMPLIMIENTO
2,2,NO SE DETECTO INCUMPLIMIENTO
3,3,NO SE DETECTO INCUMPLIMIENTO
4,4,NO SE DETECTO INCUMPLIMIENTO
5,5,NO SE DETECTO INCUMPLIMIENTO
6,6,NO SE DETECTO INCUMPLIMIENTO
7,7,NO SE DETECTO INCUMPLIMIENTO
8,8,NO SE DETECTO INCUMPLIMIENTO
9,9,NO SE DETECTO INCUMPLIMIENTO
10,10,NO SE DETECTO INCUMPLIMIENTO
11,11,NO SE DETECTO INCUMPLIMIENTO
12,12,NO SE DETECTO INCUMPLIMIENTO
13,13,NO SE DETECTO INCUMPLIMIENTO
14,14,NO SE DETECTO INCUMPLIMIENTO
15,15,NO SE DETECTO INCUMPLIMIENTO
16,15,NO SE DETECTO INCUMPLIMIENTO
17,15,NO SE DETECTO INCUMPLIMIENTO
18,18,NO SE DETECTO INCUMPLIMIENTO
19,18,NO SE DETECTO INCUMPLIMIENTO
20,18,NO SE DETECTO INCUMPLIMIENTO
21,21,NO SE DETECTO INCUMPLIMIENTO
22,21,NO SE DETECTO INCUMPLIMIENTO
23,23,NO SE DETECTO INCUMPLIMIENTO
24,23,NO SE DETECTO INCUMPLIMIENTO
25,25,NO SE DETECTO INCUMPLIMIENTO
26,25,NO SE DETECTO INCUMPLIMIENTO
27,25,NO SE DETECTO INCUMPLIMIENTO
28,28,NO SE DETECTO INCUMPLIMIENTO
29,29,NO SE DETECTO INCUMPLIMIENTO
30,30,NO SE DETECTO INCUMPLIMIENTO
31,30,NO SE DETECTO INCUMPLIMIENTO
32,30,NO SE DETECTO INCUMPLIMIENTO
33,33,NO SE DETECTO INCUMPLIMIENTO
34,33,NO SE DETECTO INCUMPLIMIENTO
35,35,NO SE DETECTO INCUMPLIMIENTO
36,35,NO SE DETECTO INCUMPLIMIENTO
37,37,NO SE DETECTO INCUMPLIMIENTO
38,37,NO SE DETECTO INCUMPLIMIENTO
39,37,NO SE DETECTO INCUMPLIMIENTO
40,40,NO SE DETECTO INCUMPLIMIENTO
41,40,NO SE DETECTO INCUMPLIMIENTO
42,42,NO SE DETECTO INCUMPLIMIENTO
43,42,NO SE DETECTO INCUMPLIMIENTO
