store_id,store_name,store_purpose,state_id
1,JULIO CEPEDA JUGUETERIAS S.A. DE C.V.,JUGUETERIA,1
2,C&A DE MEXICO S. DE R.L.,TIENDA DEPARTAMENTAL,1
3,ASFEIXAS  S.A. DE C.V.,MOTEL,1
4,MOTEL VILLA MIRO- MIRO HOTELERIA  S.A. DE C.V.,MOTEL,1
5,MOTEL LUA- COMPA�IA HOTELERA PESCADORES  S.A. DE C.V.,MOTEL,1
6,MOTEL PEDRA- PEDRA  S.A. DE C.V.,MOTEL,1
7,CANDY STREET- CLAUDIA STEPHANIE MORA GARCIA,ZAPATERIA,1
8,VICKY BOUTIQUE- ROCIO ESPARZA ORTIZ,ROPA PARA DAMA,1
9,MOTEL CASTILLO-CIA. HOTELERA FENTOS  S. A. DE C. V.,HOTEL,1
10,MOTEL LOS ARCOS S.A. DE C.V.,BAR,1
11,RESTAURANTE LOS ARCOS- MARIS BAJA  S.A. DE C.V.,RESTAURANT-BAR,1
12,EL ALMACEN DEL BIFE- SI NO HAY PARA TODOS NO HAY PARA NADIE  S.A. DE C.V.,RESTAURANT-BAR,1
13,ANTIGUA HACIENDA LA NORIA- HECTOR FLORES AGUILAR,RESTAURANT-BAR,1
14,VIRREY BUFFETS S.A. DE C.V.,RESTAURANTE,1
15,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,BAR,1
16,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,BAR,1
17,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,BAR,1
18,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,RESTAURANT-BAR,1
19,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,RESTAURANT-BAR,1
20,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,RESTAURANT-BAR,1
21,CADENA COMERCIAL OXXO  S. A. DE C.V.,TIENDA DE AUTOSERVICIO,1
22,CADENA COMERCIAL OXXO  S. A. DE C.V.,TIENDA DE AUTOSERVICIO,1
23,FARMACIA GUADALAJARA  S. A. DE C. V.,TIENDAS DE AUTOSERVICIO ESPECIALIZADAS,1
24,FARMACIA GUADALAJARA  S. A. DE C. V.,TIENDAS DE AUTOSERVICIO ESPECIALIZADAS,1
25,ABARROTES - JOSE ALVARO NU�EZ GUZMAN,ABARROTES,1
26,ABARROTES - JOSE ALVARO NU�EZ GUZMAN,ABARROTES,1
27,ABARROTES - JOSE ALVARO NU�EZ GUZMAN,ABARROTES,1
28,SUPERAMA-NUEVA WAL MART DE MEXICO  S. DE R. L. DE C. V.,TIENDA DE AUTOSERVICIO,1
29,SAM'S CLUB- NUEVA WAL MART DE MEXICO  S DE RL DE CV,TIENDA DEPARTAMENTAL,1
30,CADENA COMERCIAL OXXO SA DE CV,TIENDA DE AUTOSERVICIO,1
31,CADENA COMERCIAL OXXO SA DE CV,TIENDA DE AUTOSERVICIO,1
32,CADENA COMERCIAL OXXO SA DE CV,TIENDA DE AUTOSERVICIO,1
33,CADENA COMERCIAL OXXO SA DE CV   (COLON),ABARROTES,1
34,CADENA COMERCIAL OXXO SA DE CV   (COLON),ABARROTES,1
35,CADENA COMERCIAL OXXO SA DE CV  (MORELOS),ABARROTES,1
36,CADENA COMERCIAL OXXO SA DE CV  (MORELOS),ABARROTES,1
37,LA BOMBILLA VINOS SA DE CV,BEBIDAS ALCOHOLICAS,1
38,LA BOMBILLA VINOS SA DE CV,BEBIDAS ALCOHOLICAS,1
39,LA BOMBILLA VINOS SA DE CV,BEBIDAS ALCOHOLICAS,1
40,TIENDAS EXTRA S.A DE C.V,ABARROTES,1
41,TIENDAS EXTRA S.A DE C.V,ABARROTES,1
42,FARMACIAS BENAVIDES S.A.B. DE C.V.,FARMACIA,1
43,FARMACIAS BENAVIDES S.A.B. DE C.V.,FARMACIA,1
44,CADENA COMERCIAL OXXO  S. A. DE C. V.,ABARROTES,1
45,CADENA COMERCIAL OXXO  S. A. DE C. V.,ABARROTES,1
46,BODEGA AURRERA EXPRESS -  NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.,TIENDAS DE CONVENIENCIA,1
47,BODEGA AURRERA EXPRESS -  NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.,TIENDAS DE CONVENIENCIA,1
48,COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE CV / FARMACIAS DEL AHORRO,FARMACIA,1
49,COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE CV / FARMACIAS DEL AHORRO,FARMACIA,1
50,DEL SOL-GRUPO COMERCIAL CONTROL  S. A. DE C. V.,TIENDA DEPARTAMENTAL,1
51,DEL SOL-GRUPO COMERCIAL CONTROL  S. A. DE C. V.,TIENDA DEPARTAMENTAL,1
52,SEARS OPERADORA DE MEXICO  S. A. DE C. V.,TIENDA DEPARTAMENTAL,1
53,SEARS OPERADORA DE MEXICO  S. A. DE C. V.,TIENDA DEPARTAMENTAL,1
54,DISTRIBUIDORA LIVERPOOL  SA DE CV,TIENDA DEPARTAMENTAL,1
55,DISTRIBUIDORA LIVERPOOL  SA DE CV,TIENDA DEPARTAMENTAL,1
56,LA SANTA - GRUPO ANTROMEX DE OCCIDENTE,DISCOTEQUE,1
57,LA SANTA - GRUPO ANTROMEX DE OCCIDENTE,DISCOTEQUE,1
58,EL DIVINO - OH PRODUCTIONS S.A. DE C.V.,DISCOTEQUE,1
