clave,titulo,artista,genero,anio,agregado,bpm,energia,baile,deciBeles,vivo,val,duracion,acustica,palabra,pop,pais
671,0.4,Aya Nakamura,basshall,2019,31/12/1969,92,69,84,-7,13,68,175,40,21,78,france
125,0.958333333,Maluma,latin,2019,31/12/1969,96,71,78,-5,9,68,176,22,28,88,argentina
273,0.958333333,Maluma,latin,2019,31/12/1969,96,71,78,-5,9,68,176,22,28,88,bolivia
472,0.958333333,Maluma,latin,2019,31/12/1969,96,71,78,-5,9,68,176,22,28,88,colombia
136,22,TINI,latin pop,2019,31/12/1969,176,64,70,-5,9,81,159,1,9,76,argentina
438,110,Capital Bra,german hip hop,2019,31/12/1969,179,75,48,-5,10,42,195,53,43,76,germany
430,2002,Sido,german hip hop,2019,31/12/1969,160,69,66,-8,10,49,237,21,24,82,germany
592,+,Aitana,latin pop,2019,31/12/1969,160,67,56,-4,12,68,219,11,3,76,spain
830,<U+05D0><U+05D2><U+05E8><U+05D5><U+05E3>,Eden Ben Zaken,israeli mediterranean,2019,31/12/1969,120,52,54,-9,21,27,189,54,6,55,israel
836,<U+05D0><U+05D7><U+05EA> <U+05D5><U+05DC><U+05EA><U+05DE><U+05D9><U+05D3>,Ishay Ribo,israeli pop,2018,31/12/1969,96,48,60,-10,11,44,245,48,3,54,israel
827,<U+05D0><U+05D9><U+05DF> <U+05D9><U+05D5><U+05EA><U+05E8> <U+05DE><U+05D5><U+05E2><U+05D3><U+05D5><U+05E0><U+05D9><U+05DD>,Eden Hason,israeli mediterranean,2019,31/12/1969,90,61,61,-5,7,63,184,10,6,56,israel
824,<U+05D0><U+05DC><U+05D5><U+05E3> <U+05D4><U+05E2><U+05D5><U+05DC><U+05DD>,Hanan Ben Ari,israeli pop,2019,31/12/1969,128,43,58,-8,13,22,216,75,5,58,israel
842,<U+05D1><U+05D0><U+05EA><U+05D9> <U+05DC><U+05D7><U+05DC><U+05D5><U+05DD>,Nathan Goshen,israeli pop,2018,31/12/1969,171,72,36,-7,8,38,199,17,11,52,israel
844,<U+05D1><U+05DE><U+05E7><U+05D5><U+05DD> <U+05D4><U+05DB><U+05D9> <U+05E8><U+05D7><U+05D5><U+05E7>,Benaia Barabi,israeli mediterranean,2019,31/12/1969,112,56,68,-7,36,36,201,59,5,51,israel
837,<U+05D3><U+05D9><U+05D1><U+05D5><U+05E8> <U+05E0><U+05D2><U+05D5><U+05E2>,Mergui,israeli hip hop,2019,31/12/1969,97,49,90,-4,8,73,166,6,17,53,israel
829,<U+05D4><U+05DC><U+05D1> <U+05E9><U+05DC><U+05D9>,Omer Adam,israeli mediterranean,2019,31/12/1969,129,38,41,-7,11,32,317,83,3,56,israel
841,<U+05D4><U+05DC><U+05D1> <U+05E9><U+05DC><U+05D9>,Ishay Ribo,israeli pop,2019,31/12/1969,136,42,56,-9,7,26,239,64,3,52,israel
