"country","year","gdpcap","lifexp","pop","continent"
"Algeria",1960,7.15491595860345,51.1232,11124892,"Africa"
"Argentina",1960,8.56634076865839,64.7428,20619075,"Americas"
"Australia",1960,9.14928219615129,71.042,10292328,"Oceania"
"Austria",1960,8.91384406362689,68.932,7065525,"Europe"
"Bangladesh",1960,5.54057734546353,44.733,48200702,"Asia"
"Belgium",1960,8.91660220313589,69.674,9140563,"Europe"
"Benin",1960,5.54899346163765,41.199,2431620,"Africa"
"Bolivia",1960,6.79655214196,46.367,3693451,"Americas"
"Botswana",1960,5.47026119593876,55.5668,524029,"Africa"
"Brazil",1960,7.27783070041492,56.33,72493585,"Americas"
"Burkina Faso",1960,4.80572317725065,38.996,4829291,"Africa"
"Burundi",1960,4.75367519783802,41.9786,2786740,"Africa"
"Cameroon",1960,6.15103003728188,46.4236,5361367,"Africa"
"Canada",1960,9.14578935113382,71,17909232,"Americas"
"Central African Republic",1960,5.87443273468151,41.7306,1503501,"Africa"
"Chad",1960,5.53711445821668,46.2382,3002596,"Africa"
"Chile",1960,7.51810771532076,58.4518,7695692,"Americas"
"China",1960,4.65832213989738,29.51112,644450173,"Asia"
"Colombia",1960,7.08023988287873,60.9046,16480384,"Americas"
"Congo, Dem. Rep.",1960,5.78352718870328,45.3244,15248246,"Africa"
"Congo, Rep.",1960,6.42606368715847,47.26,1013581,"Africa"
"Costa Rica",1960,7.49441155912896,64.6454,1333042,"Americas"
"Cote d'Ivoire",1960,6.31117266406463,43.4314,3474724,"Africa"
"Denmark",1960,9.34054985629282,72.146,4580708,"Europe"
"Dominican Republic",1960,6.81615470188572,57.814,3294039,"Americas"
"Ecuador",1960,6.70968367549671,56.9132,4545548,"Americas"
"Egypt",1960,6.06463259769165,47.6908,27072397,"Africa"
"El Salvador",1960,7.27851128391542,54.0186,2762897,"Americas"
"Finland",1960,8.89645684010695,68.882,4430228,"Europe"
"France",1960,8.9226442687593,70.672,45865699,"Europe"
"Gabon",1960,7.51026990581703,45.596,499189,"Africa"
"Ghana",1960,5.64229155304376,50.6128,6652285,"Africa"
"Greece",1960,8.12730419646341,70.1178,8311386,"Europe"
"Guatemala",1960,6.86605429868371,45.1802,4127555,"Americas"
"Honduras",1960,6.62166633722347,50.664,2002333,"Americas"
"Hungary",1960,6.95689772871077,68.138,10001270,"Europe"
"Iceland",1960,9.22127126845236,74.082,175520,"Europe"
"India",1960,5.19828558626097,41.1222,449661874,"Asia"
"Indonesia",1960,5.30155287364523,48.2456,87792512,"Asia"
"Israel",1960,8.66983262823366,68.635,2089891,"Asia"
"Italy",1960,8.67376234614545,69.162,49714962,"Europe"
"Japan",1960,8.9586314649702,67.904,92500754,"Asia"
"Kenya",1960,5.56497692992032,51.3754,8105440,"Africa"
"Lesotho",1960,4.88451129940537,52.3372,851412,"Africa"
"Liberia",1960,6.41021671184786,42.0678,1120314,"Africa"
"Madagascar",1960,6.01400076904126,44.7052,5099371,"Africa"
"Malawi",1960,4.5914245986706,38.465,3618604,"Africa"
"Malaysia",1960,6.70025846970391,60.4682,8160975,"Asia"
"Mauritania",1960,5.92392646324346,48.024,858170,"Africa"
"Mexico",1960,7.80626993443804,58.3878,38174114,"Americas"
"Morocco",1960,6.47090948875571,52.3172,12328534,"Africa"
"Nepal",1960,4.93505654323657,43.2366,10056945,"Asia"
"Netherlands",1960,9.05519841406177,73.45,11418652,"Europe"
"Nicaragua",1960,7.07874532940567,49.8432,1774696,"Americas"
"Niger",1960,5.74910688670552,41.128,3395212,"Africa"
"Nigeria",1960,5.63300409903359,47.268,45211614,"Africa"
"Norway",1960,9.27756558166917,73.436,3582016,"Europe"
"Oman",1960,6.87370646284289,45.224,551737,"Asia"
"Pakistan",1960,5.23359280890675,46.5874,44911810,"Asia"
"Panama",1960,7.44454764163621,63.4816,1132924,"Americas"
"Paraguay",1960,6.49655801431044,66.4494,1902871,"Americas"
"Peru",1960,7.40686327956143,46.688,10061519,"Americas"
"Philippines",1960,6.53912516579983,60.6414,26273023,"Asia"
"Portugal",1960,7.77008479694482,64.434,8875311,"Europe"
"Rwanda",1960,5.41593886826963,43.4014,2933424,"Africa"
"Senegal",1960,6.41938885184899,44.2814,3177560,"Africa"
"Sierra Leone",1960,5.4087525249981,40.4502,2181701,"Africa"
"Singapore",1960,7.71930508587918,65.6446,1633718,"Asia"
"South Africa",1960,7.6979062389421,52.788,17396367,"Africa"
"Spain",1960,8.21908341871931,68.918,30450994,"Europe"
"Sri Lanka",1960,5.6120570530882,60.5688,9896172,"Asia"
"Sudan",1960,5.6516366973592,51.6062,7527450,"Africa"
"Sweden",1960,9.33788939146186,72.88,7479602,"Europe"
"Thailand",1960,5.7711498342921,58.7488,27397178,"Asia"
"Togo",1960,5.17371682573709,44.6426,1580513,"Africa"
"Trinidad and Tobago",1960,8.11441818324252,63.1202,848481,"Americas"
"Turkey",1960,7.36680455718383,48.4992,27553280,"Europe"
"United Kingdom",1960,9.21287210443525,70.94,52410496,"Europe"
"United States",1960,9.52684586323458,69.734,186176524,"Americas"
"Uruguay",1960,8.33857320072575,67.6094,2538651,"Americas"
"Venezuela",1960,8.60106901671426,61.4778,8146845,"Americas"
"Zambia",1960,6.30525812748091,52.3688,3049586,"Africa"
"Zimbabwe",1960,5.96361989035426,53.9506,3752390,"Africa"
"Algeria",1961,6.98971732385673,51.70588,11404859,"Africa"
"Argentina",1961,8.60305957810458,64.85582,20953079,"Americas"
"Australia",1961,9.15393363715476,71.3158,10494911,"Oceania"
"Austria",1961,8.96226003572021,69.9058,7105654,"Europe"
"Bangladesh",1961,5.5712625120781,45.2564,49593610,"Asia"
"Belgium",1961,8.96186479219196,70.5446,9200393,"Europe"
"Benin",1961,5.56699711399631,41.7554,2466002,"Africa"
"Bolivia",1961,6.79495218156162,46.7687,3764815,"Americas"
"Botswana",1961,5.5081082010047,56.05062,536576,"Africa"
"Brazil",1961,7.34563242694939,56.8477,74706888,"Americas"
"Burkina Faso",1961,4.83012551983267,39.5751,4894578,"Africa"
"Burundi",1961,4.58813835428996,42.30594,2840375,"Africa"
"Cameroon",1961,6.14150661355939,46.98654,5474509,"Africa"
"Canada",1961,9.15692103305147,71.229,18295922,"Americas"
"Central African Republic",1961,5.90581228446752,42.27464,1529229,"Africa"
"Chad",1961,5.52980081960096,46.70358,3061423,"Africa"
"Chile",1961,7.53241432815241,58.87432,7873504,"Americas"
"China",1961,4.35237005757253,31.930824,654625069,"Asia"
"Colombia",1961,7.10184161193657,61.53954,16982313,"Americas"
"Congo, Dem. Rep.",1961,5.64297634374299,45.64406,15637715,"Africa"
"Congo, Rep.",1961,6.48057332824007,47.8742,1039966,"Africa"
"Costa Rica",1961,7.44988350349473,65.29056,1381920,"Americas"
"Cote d'Ivoire",1961,6.36833562456113,44.28556,3602075,"Africa"
"Denmark",1961,9.39540486348286,72.4044,4613769,"Europe"
"Dominican Republic",1961,6.75933322052576,58.6957,3406299,"Americas"
"Ecuador",1961,6.69592547283242,57.64338,4676858,"Americas"
"Egypt",1961,6.08132074778843,48.24922,27810001,"Africa"
"El Salvador",1961,7.28257519873834,54.81364,2843246,"Americas"
"Finland",1961,8.96269359197171,68.9088,4463432,"Europe"
"France",1961,8.96309500575065,71.2588,46471083,"Europe"
"Gabon",1961,7.64253691352774,46.1046,504174,"Africa"
"Ghana",1961,5.64444138415674,51.16802,6866545,"Africa"
