country,year,gdpcap,lifexp,pop,continent
Argentina,1960,8.56634076865839,64.7428,20619075,Americas
Bolivia,1960,6.7965521419599995,46.367,3693451,Americas
Brazil,1960,7.27783070041492,56.33,72493585,Americas
Chile,1960,7.51810771532076,58.4518,7695692,Americas
Colombia,1960,7.080239882878731,60.9046,16480384,Americas
Costa Rica,1960,7.49441155912896,64.6454,1333042,Americas
Dominican Republic,1960,6.816154701885719,57.81399999999999,3294039,Americas
Ecuador,1960,6.70968367549671,56.9132,4545548,Americas
El Salvador,1960,7.27851128391542,54.0186,2762897,Americas
Guatemala,1960,6.86605429868371,45.1802,4127555,Americas
Honduras,1960,6.62166633722347,50.663999999999994,2002333,Americas
Mexico,1960,7.80626993443804,58.3878,38174114,Americas
Nicaragua,1960,7.07874532940567,49.8432,1774696,Americas
Panama,1960,7.444547641636209,63.4816,1132924,Americas
Paraguay,1960,6.496558014310441,66.4494,1902871,Americas
Peru,1960,7.40686327956143,46.688,10061519,Americas
Trinidad and Tobago,1960,8.11441818324252,63.1202,848481,Americas
Uruguay,1960,8.33857320072575,67.6094,2538651,Americas
Venezuela,1960,8.60106901671426,61.4778,8146845,Americas
Argentina,1961,8.603059578104581,64.85582,20953079,Americas
Bolivia,1961,6.79495218156162,46.7687,3764815,Americas
Brazil,1961,7.34563242694939,56.8477,74706888,Americas
Chile,1961,7.532414328152409,58.87432,7873504,Americas
Colombia,1961,7.10184161193657,61.53954,16982313,Americas
Costa Rica,1961,7.44988350349473,65.29056,1381920,Americas
Dominican Republic,1961,6.759333220525759,58.6957,3406299,Americas
Ecuador,1961,6.69592547283242,57.64338000000001,4676858,Americas
El Salvador,1961,7.28257519873834,54.81364,2843246,Americas
Guatemala,1961,6.8809522978021205,45.74238,4240084,Americas
Honduras,1961,6.607303207933099,51.4518,2069085,Americas
Mexico,1961,7.8226843085604,59.011419999999994,39394125,Americas
Nicaragua,1961,7.11911842904541,50.56158,1830400,Americas
Panama,1961,7.517554991324579,64.06324000000001,1167041,Americas
Paraguay,1961,6.53838778925902,66.73566,1953331,Americas
Peru,1961,7.44929497779334,47.2039,10350239,Americas
Trinidad and Tobago,1961,8.22800497249509,63.72458,865356,Americas
Uruguay,1961,8.350264641346,67.82906,2571691,Americas
Venezuela,1961,8.59479030669579,62.10981999999999,8461684,Americas
Argentina,1962,8.578585324549909,64.94084000000001,21287682,Americas
Bolivia,1962,6.826887968066781,47.1734,3838096,Americas
Brazil,1962,7.36620834595585,57.3524,77007549,Americas
Chile,1962,7.55764661916206,59.32584,8054166,Americas
Colombia,1962,7.12535058963491,62.13548,17500166,Americas
Costa Rica,1962,7.493034908896611,65.92772,1432583,Americas
Dominican Republic,1962,6.88365590901606,59.5654,3521276,Americas
Ecuador,1962,6.711093808813731,58.33056,4812892,Americas
El Salvador,1962,7.36378469653288,55.57068,2927861,Americas
Guatemala,1962,6.88853248200786,46.31756,4356579,Americas
Honduras,1962,6.6300312874525,52.2336,2139208,Americas
Mexico,1962,7.83646380155972,59.56904,40649590,Americas
Nicaragua,1962,7.19937829619987,51.28396,1886560,Americas
Panama,1962,7.56878349087945,64.62788,1202372,Americas
Paraguay,1962,6.52530210239863,67.00591999999999,2005337,Americas
Peru,1962,7.500529204577121,47.6978,10650672,Americas
Trinidad and Tobago,1962,8.24267653779307,64.24296,880019,Americas
Uruguay,1962,8.32195452100046,68.01572,2603887,Americas
Venezuela,1962,8.63944422800735,62.73884,8790590,Americas
Argentina,1963,8.50839793065669,65.01086,21621845,Americas
Bolivia,1963,6.86673364828591,47.5811,3913397,Americas
Brazil,1963,7.344806075556999,57.8411,79368453,Americas
Chile,1963,7.5919779604036,59.807359999999996,8237555,Americas
Colombia,1963,7.12432769399269,62.70142,18033548,Americas
Costa Rica,1963,7.50495653059209,66.55388,1484512,Americas
Dominican Republic,1963,6.914017965359241,60.4211,3638628,Americas
Ecuador,1963,6.719457096166691,58.965740000000004,4953735,Americas
El Salvador,1963,7.37382017659842,56.28272,3015885,Americas
Guatemala,1963,6.952518519299611,46.901740000000004,4476923,Americas
Honduras,1963,6.63211822542425,53.0014,2211144,Americas
Mexico,1963,7.883234867396049,60.064659999999996,41939880,Americas
Nicaragua,1963,7.264257066030081,52.00934,1943591,Americas
Panama,1963,7.62051299437008,65.17352,1238824,Americas
Paraguay,1963,6.536748201206679,67.25118,2058916,Americas
Peru,1963,7.50802923050969,48.1677,10961539,Americas
Trinidad and Tobago,1963,8.28788120159276,64.65734,892571,Americas
Uruguay,1963,8.311736225011769,68.16038,2635128,Americas
Venezuela,1963,8.64118272878807,63.36486,9130346,Americas
Argentina,1964,8.589600120344501,65.08088000000001,21953926,Americas
Bolivia,1964,6.89102548198147,47.9918,3990855,Americas
